0	0,0,10,1

0.5	0,0,10,1

1	0,0,10,1

1.5	0,0,10,1

2	0,0,10,1

2.5	0,0,10,1

3	0,0,10,1

3.5	0,0,10,1

4	0,0,10,1

4.5	0,0,10,1

5	0,0,10,1

5.5	0,0,10,1

6	0,0,10,1

6.5	0,0,10,1

7	0,0,10,1

7.5	0,0,10,1

8	0,0,10,1

8.5	0,0,10,1

9	0,0,10,1

9.5	0,0,10,1

10	0,0,10,1

10.5	0,0,10,1

11	0,0,10,1

11.5	0,0,10,1

12	0,0,10,1

12.5	0,0,10,1

13	0,0,10,1

13.5	0,0,10,1

14	0,0,10,1

14.5	0,0,10,1

15	0,0,10,1

15.5	0,0,10,1

16	0,0,10,1

16.5	0,0,10,1

17	0,0,10,1

17.5	0,0,10,1

18	0,0,10,1

18.5	-0.593769,0.593769,33.7508,2

19	-0.549463,0.549463,31.9785,2

19.5	-0.545819,0.545819,31.8328,2

20	-0.545655,0.545655,31.8262,2

20.5	-0.545648,0.545648,31.8259,2

21	-0.545647,0.545647,31.8259,2

21.5	-0.545647,0.545647,31.8259,2

22	-0.545647,0.545647,31.8259,2

22.5	-0.545647,0.545647,31.8259,2

23	-0.545647,0.545647,31.8259,2

23.5	-0.545647,0.545647,31.8259,2

24	-0.545647,0.545647,31.8259,2

24.5	-0.545647,0.545647,31.8259,2

25	-0.545647,0.545647,31.8259,2

25.5	-0.546405,0.546405,31.8562,2

26	-0.554849,0.554849,32.1939,2

26.5	-0.563727,0.563727,32.5491,2

27	-0.571824,0.571824,32.873,2

27.5	-0.579186,0.579186,33.1675,2

28	-0.585895,0.585895,33.4358,2

28.5	-0.592017,0.592017,33.6807,2

29	-0.597608,0.597608,33.9043,2

29.5	-0.602713,0.602713,34.1085,2

30	-0.607372,0.607372,34.2949,2

30.5	-0.611616,0.611616,34.4647,2

31	-0.615474,0.615474,34.619,2

31.5	-0.618968,0.618968,34.7587,2

32	-0.622118,0.622118,34.8847,2

32.5	-0.624943,0.624943,34.9977,2

33	-0.627456,0.627456,35.0982,2

33.5	-0.62967,0.62967,35.1868,2

34	-0.631595,0.631595,35.2638,2

34.5	-0.633241,0.633241,35.3297,2

35	-0.634616,0.634616,35.3846,2

35.5	-0.635724,0.635724,35.429,2

36	-0.636571,0.636571,35.4628,2

36.5	-0.78779,1.15108,48.7774,4

37	-0.773981,1.18583,49.1962,4

37.5	-0.747074,1.14999,47.9412,4

38	-0.736452,1.14083,47.5455,4

38.5	-0.733282,1.13839,47.4334,4

39	-0.732408,1.13773,47.4027,4

39.5	-0.732171,1.13755,47.3943,4

40	-0.732106,1.1375,47.3921,4

40.5	-0.732089,1.13748,47.3915,4

41	-0.732084,1.13748,47.3913,4

41.5	-0.732083,1.13748,47.3913,4

42	-0.732083,1.13748,47.3913,4

42.5	-0.732083,1.13748,47.3913,4

43	-0.732083,1.13748,47.3912,4

43.5	-0.732083,1.13748,47.3912,4

44	-0.735664,1.14043,47.5218,4

44.5	-0.746842,1.15169,47.9706,4

45	-0.759533,1.1639,48.4687,4

45.5	-0.771742,1.17533,48.9415,4

46	-0.78302,1.18572,49.3747,4

46.5	-0.793332,1.19509,49.7684,4

47	-0.802743,1.20354,50.1257,4

47.5	-0.811329,1.21118,50.4501,4

48	-0.819162,1.21808,50.7448,4

48.5	-0.8263,1.22432,51.0124,4

49	-0.832797,1.22995,51.255,4

49.5	-0.838695,1.23503,51.4746,4

50	-0.844032,1.2396,51.6727,4

